Number,Title,Author,Year,Publisher,Published City,ISBN,DOI
30,"Bonelli's Eagle (Aquila fasciata), version 1.0","Orta, Jaume; Kirwan, Guy M.; Christie, David; Boesman, Peter F. D.; Marks, Jeffrey S.; Garcia, Ernest",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.boneag2.01
31,"Booted Eagle (Hieraaetus pennatus), version 1.0","Orta, Jaume; Boesman, Peter F. D.; Marks, Jeffrey S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.booeag1.01
32,"Band-bellied Crake (Zapornia paykullii), version 1.0","Taylor, Barry; Bonan, Arnau",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.babcra1.01
33,"Yellow-legged Buttonquail (Turnix tanki), version 1.0","Debus, Stephen; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.yelbut1.01
34,"Iceland Gull (Larus glaucoides), version 1.0","Snell, Richard R.; Pyle, Peter; Patten, Michael A.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.y00478.01
35,"Lesser Black-backed Gull (Larus fuscus), version 1.0","Burger, Joanna; Gochfeld, Michael; Kirwan, Guy M.; Christie, David; de Juana, Eduardo",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.lbbgul.01
36,"Pomarine Jaeger (Stercorarius pomarinus), version 1.0","Haven Wiley, R.; Lee, David S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.pomjae.01
37,"South Polar Skua (Stercorarius maccormicki), version 1.0","Furness, Robert W.; Boesman, Peter F. D.; Garcia, Ernest",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.sopsku1.01
38,"Parasitic Jaeger (Stercorarius parasiticus), version 1.0","Wiley, R. Haven; Lee, David S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.parjae.01
39,"Long-tailed Jaeger (Stercorarius longicaudus), version 1.0","Wiley, R. Haven; Lee, David S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.lotjae.01
40,"Thick-billed Murre (Uria lomvia), version 1.0","Gaston, Anthony J.; Hipfner, J. Mark",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.thbmur.01
41,"Common Murre (Uria aalge), version 2.0","Ainley, David G.; Nettleship, David N.; Storey, Anne E.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.commur.02
42,"Spectacled Guillemot (Cepphus carbo), version 1.0","Nettleship, David N.; Boesman, Peter F. D.; Garcia, Ernest",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.spegui1.01
43,"Long-billed Murrelet (Brachyramphus perdix), version 1.0","del Hoyo, Josep; Collar, Nigel; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.lobmur.01
44,"Ancient Murrelet (Synthliboramphus antiquus), version 1.0","Gaston, Anthony J.; Shoji, Akiko",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.ancmur.01
45,"Japanese Murrelet (Synthliboramphus wumizusume), version 1.0","Nettleship, David N.; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.japmur1.01
46,"Least Auklet (Aethia pusilla), version 1.0","Bond, Alexander L.; Jones, Ian L.; Seneviratne, Sampath; Muzaffar, Sabir Bin",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.leaauk.01
47,"Rhinoceros Auklet (Cerorhinca monocerata), version 1.0","Gaston, Anthony J.; Dechesne, S. B.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rhiauk.01
