Number,Title,Author,Year,Publisher,Published City,ISBN,DOI
129,Myiomela leucura (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T103768823A111165982.,BirdLife International,2017,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2017-1.RLTS.T103768823A111165982.en. 
130,"White-tailed Robin (Myiomela leucura), version 1.0. ","Collar, N., J. del Hoyo, D. A. Christie, and G. M. Kirwan ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.whtrob2.01
131,Onychoprion aleuticus. The IUCN Red List of Threatened Species 2020: e.T22694716A178964431.,BirdLife International,2020,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2020-3.RLTS.T22694716A178964431.en. 
132,"Aleutian Tern (Onychoprion aleuticus), version 1.0.","North, M. R. ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.aleter1.01
133,Phoebastria immutabilis. The IUCN Red List of Threatened Species 2018: e.T22698365A132643073,BirdLife International,2018,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2018-2.RLTS.T22698365A132643073.en.
134,"Laysan Albatross (Phoebastria immutabilis), version 1.0","Awkerman, J. A., D. J. Anderson, and G. C. Whittow ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.layalb.01
135,Phoenicurus schisticeps. The IUCN Red List of Threatened Species 2016: e.T22710063A94232258.,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22710063A94232258.en
136,"White-throated Redstart (Phoenicurus schisticeps), version 1.0","Collar, N.",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.whtred1.01
137,Plegadis falcinellus (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2019: e.T22697422A155528413.,BirdLife International,2019,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2019-3.RLTS.T22697422A155528413.en. 
138,"Glossy Ibis (Plegadis falcinellus), version 1.0.","Davis Jr., W. E. and J. C. Kricher",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.gloibi.01
139,Sylvia nisoria. The IUCN Red List of Threatened Species 2016: e.T22716937A87716403.,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22716937A87716403.en
140,"Barred Warbler (Curruca nisoria), version 1.1.","Aymí, R., G. Gargallo, and E. de Juana",2021,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.barwar1.01.1
141,Thalasseus bernsteini. The IUCN Red List of Threatened Species 2018: e.T22694585A131118818.,BirdLife International,2018,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2018-2.RLTS.T22694585A131118818.en. 
142,"Chinese Crested Tern (Thalasseus bernsteini), version 1.0.","Gochfeld, M., J. Burger, E. de Juana, C. J. Sharpe, G. M. Kirwan, and E. F. J. Garcia ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.chcter2.01
143,Turdus feae (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2019: e.T22708790A155628935. ,BirdLife International,2019,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22708790A155628935.en. 
144,"Gray-sided Thrush (Turdus feae), version 1.0.","Collar, N. ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.gysthr1.01
